FL_9_DO,,Definitely human-written,Very likely human-written,Somewhat likely human-written,Equally likely human or AI-generated,Somewhat likely AI-generated,Very likely AI-generated,Definitely AI-generated
HR_ai,0.3333,0.037,0.1481,0.037,0.0,0.1111,0.2222,0.1111
HR_human,0.3182,0.0,0.1364,0.2273,0.0,0.1818,0.1364,0.0
Med_ai,0.16,0.0,0.08,0.16,0.0,0.28,0.28,0.04
Med_human,0.1154,0.0769,0.1154,0.0385,0.0,0.1538,0.4615,0.0385
